Nome da Aba/Campo,Significado do campo,Direcionamento,Exemplo
Status,Status em que a meeting se encontra,"Ao agendar o status deve ser colocado como scheduled. Ao fim, da meeting deve ser alterado para completed. 
Scheduled: a data tem que ser maior que a data atual.
Completed: a data tem que ser igual ou menor que a data atual.","Potential: status em que a meeting deve ser criada. Utilize no momento que você já souber que gostaria de realizar uma conexão com aquele mentor.
Scheduled: status utilizado para quando você já possuir dia e horário para a mentoria. Atualize esse campo no momento em que obtiver a confirmação da data e horário da mentoria.
Completed: status a ser utilizado após a mentoria ser realizada.
Cancelled: status a utilizar quando uma mentoria que já estava agendada (scheduled) for cancelada.
No response: status a ser utilizado quando você não obtiver resposta para um pedido de mentoria realizado.
Refused: status a ser utilizado quando um mentor recusar seu pedido de mentoria."
General Info,,,
Company,"Empresa para qual a meeting será realizada ",Para aparecer na lista precisa ter uma Account da empresa criada no Sales Force,"Credix; Livemode; Cayena; Creditas, etc."
Atendees,,,
Role,Papel que a pessoa assumirá durante o papo,Empreendedor para qual a meeting será realizada (Received); Mentor/a que fará a mentoria (Donated); ou Staff da Endeavor que acompanhará a meet (Neutral),"Received;
Donated;
Neutral"
Atendee (company),"Nome das pessoas (empreendedora, mentora ou staff) que fará parte da mentoria","Para aparecer na lista precisa ter uma Contact da pessoa criada no Sales Force. No caso de mentores, o campo “Relationship to Endeavor” do Sales Force deve estar atualizado","Sérgio Furio;
Jean-Marc; 
Juliana Freitas"
Stage,Etapa do funil dos diferentes produtos de aceleração da Endeavor,"Scale-Up, Seleção ou EEs.",-
Type,"Tipo da meeting: mentoria, mentoria avaliativa, painel local, apadrinhamento, diagnóstico, entre outros","Opções mostradas dependem diretamente do campo selecionado em ‘Stage’. 
Isso nos permite realizar análises diferentes sobre Meetings, por ex. saber quantas mentorias de diagnóstico estamos fazendo, conexões comerciais, etc.","Diagnostics: Mentoria de diagnóstico no começo do programa para extrair os principais desafios a serem abordados no decorrer da aceleração
Godparent: Mentoria de encontros individuais e recorrente entre o founder e o mentor, durante um período determinado de tempo.
Spot Mentoring: Mentoria não recorrente, esporádica, sem um acompanhamento cadenciado da pessoa mentora durante um determinado período de tempo;
P2P (group): 
Mentoring:
"
Subject,Assunto que foi abordado na Meeting,"One liner que deixe claro sobre o que é aquela conexão. Idealmente trazer um contexto adicional do desafio, o grande tema da mentoria. Se não tiver grande tema pode ser o próprio porcesso de seleção (2nd, PL). O resto do time tem que olhar para isso e rapidamente saber sobre do que se tratou. Filtro de Keywords busca aqui também.","- Geração de demanda B2B SMB por canais;
- Estratégias de gtm para Account Based Marketing;
- Estruturação de founding team, sourcing e compensation"
Date/Time,Dia e horário em que a meeting acontecerá,-,-
Duration (minutes),Estimativa de tempo de duração da meeting,-,-
