Produto,Meeting Stage,Meeting Type,Stage no SF,Type no SF
EE,EE,Connection to EE’s Team,Post-Selection,Mentoring
SUP,Scale-Up,Diagnostics,ScaleUp/Local Program,Mentoring
SUP,Scale-Up,Checkpoint / Onboarding,ScaleUp/Local Program,Needs Asessment - Roadmap
GR/Embaixadores/Times Endeavor,Others,Endeavor Committee Meeting,"Non-Selection ",Board Meeting
SUP-O," Scale-Up Outliers / Selection",Commercial Intro,Pre-Selection,Commercial Introduction
SUP,Scale-Up,Spot Mentoring,ScaleUp/Local Program,Mentoring
EE,EE,Mentoring,Post-Selection,Mentoring
SUP,Scale-Up,Others,ScaleUp/Local Program,Working Session
SUP,Scale-Up,Partnership Intro,ScaleUp/Local Program,Partner Introduction
SUP,Scale-Up Alumni,P2P (group),ScaleUp/Local Program Alumni,Community Meeting
SUP-O," Scale-Up Outliers / Selection",Partnership Intro,Pre-Selection,Partner Introduction
GR/Embaixadores/Times Endeavor,Others,Endeavor Board Meeting,"Non-Selection ",Board Meeting
EE,EE,Others,Post-Selection,Working
GR/Embaixadores/Times Endeavor,Others,Other Network Intro,"Non-Selection ",Network Introduction
SUP-O," Scale-Up Outliers / Selection",Talent Intro,Pre-Selection,Talent Introduction
GR/Embaixadores/Times Endeavor,Others,Mentor Checkpoint,"Non-Selection ",Network Care
SUP,Scale-Up,P2P (group),ScaleUp/Local Program,Community Meeting
EE,EE,P2P (group),Post-Selection,Community Meeting
SUP-O," Scale-Up Outliers / Selection",ISP Deliberation,Pre-Selection,Deliberations
SUP-O," Scale-Up Outliers / Selection",Local Review,Pre-Selection,Final Review
SUP,Scale-Up Alumni,Mentoring,ScaleUp/Local Program Alumni,Mentoring
SUP,Scale-Up,1st Opinion Review,ScaleUp/Local Program,Interview
SUP,Scale-Up Alumni,Investor Intro,ScaleUp/Local Program Alumni,Investor Introduction
SUP-O," Scale-Up Outliers / Selection",Founder to Founder,Pre-Selection,Community Meeting
SUP,Scale-Up,Commercial Intro,ScaleUp/Local Program,Partner Introduction
SUP-O," Scale-Up Outliers / Selection",Global Review,Pre-Selection,Global Review
SUP,Scale-Up,Founder to Founder,ScaleUp/Local Program,Community Meeting
SUP-O," Scale-Up Outliers / Selection",Meetup / Gathering,Pre-Selection,Community Meeting
SUP-O," Scale-Up Outliers / Selection",Checkpoint / Onboarding,Pre-Selection,Needs Asessment - Roadmap
GR/Embaixadores/Times Endeavor,Others,Mentoring to Endeavor Staff,"Non-Selection ",Mentoring to Endeavor Staff (Non-EE)
SUP-O," Scale-Up Outliers / Selection",Legal Due Diligence,Pre-Selection,Volunteer Support
SUP-O," Scale-Up Outliers / Selection",Financial Review,Pre-Selection,Financial 2nd Opinion Review
SUP,Scale-Up,Godparent Mentoring,ScaleUp/Local Program,Mentoring
SUP-O," Scale-Up Outliers / Selection",2nd Opinion Review,Pre-Selection,General 2nd Opinion Review
GR/Embaixadores/Times Endeavor,Others,"Event Speaking Engagament ","Non-Selection ",Marketing - Events/ Conference
SUP,Scale-Up Alumni,Founder to Founder,ScaleUp/Local Program Alumni,Community Meeting
SUP-O," Scale-Up Outliers / Selection",1st Opinion Review,Pre-Selection,1st Opinion Review
SUP,Scale-Up Alumni,Checkpoint / Onboarding,ScaleUp/Local Program Alumni,Needs Asessment - Roadmap
GR/Embaixadores/Times Endeavor,Others,Donor Recruitment,"Non-Selection ",Network Recruitment
SUP,Scale-Up Alumni,Partnership Intro,ScaleUp/Local Program Alumni,Partner Introduction
SUP-O," Scale-Up Outliers / Selection",LSP,Pre-Selection,Local Panel
SUP,Scale-Up,Talent Intro,ScaleUp/Local Program,Network Introduction
EE,EE,Talent Intro,Post-Selection,Talent Introduction
EE,EE,Commercial Intro,Post-Selection,Commercial Introduction
EE,EE,Meetup / Gathering,Post-Selection,Community Meeting
SUP,Scale-Up Alumni,Meetup / Gathering,ScaleUp/Local Program Alumni,Community Meeting
SUP,Scale-Up,Meetup / Gathering,ScaleUp/Local Program,Community Meeting
SUP,Scale-Up Alumni,Commercial Intro,ScaleUp/Local Program Alumni,Partner Introduction
EE,EE,Checkpoint / Onboarding,Post-Selection,Needs Asessment - Roadmap
GR/Embaixadores/Times Endeavor,Others,Mentor Recruitment,"Non-Selection ",Network Recruitment
SUP,Scale-Up,Investor Intro,ScaleUp/Local Program,Investor Introduction
GR/Embaixadores/Times Endeavor,Others,Donor Checkpoint,"Non-Selection ",Network Care
GR/Embaixadores/Times Endeavor,Others,Network Gathering,"Non-Selection ",Network Care
SUP-O," Scale-Up Outliers / Selection",Investor Intro,Pre-Selection,Investor Introduction
SUP-O," Scale-Up Outliers / Selection",P2P (group),Pre-Selection,Community Meeting
SUP,Scale-Up Alumni,Talent Intro,ScaleUp/Local Program Alumni,Network Introduction
SUP-O," Scale-Up Outliers / Selection",ISP Interviews,Pre-Selection,International Panel
SUP-O," Scale-Up Outliers / Selection",Others,Pre-Selection,Working Session
EE,EE,Partnership Intro,Post-Selection,Partner Introduction
SUP-O," Scale-Up Outliers / Selection",Mentoring,Pre-Selection,Mentoring
EE,EE,Investor Intro,Post-Selection,Investor Introduction
EE,EE,EE Advisory Board Meeting,Post-Selection,EE Advisory Board Meeting
